Site_name,Site_location,Site_code,Replicate,Sieve_size_mm,Condition,Species_code,Species_name,Abundance
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPX55,Corbula gibba,44
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MGN1,Nassarius nigellus,9
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MGX57,Maoricolpus roseus,2
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPX14,Channelaxinus adelaideanus,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPX55,Corbula gibba,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPN1,Ennucula obliqua,2
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,4,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPX8,Pratulum thetidis,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPX55,Corbula gibba,14
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MGN1,Nassarius nigellus,3
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MGX57,Maoricolpus roseus,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPX14,Channelaxinus adelaideanus,4
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPX55,Corbula gibba,4
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPX26,Theora lubrica,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2.8,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPX55,Corbula gibba,12
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MGN1,Nassarius nigellus,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPX26,Theora lubrica,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPV1,Placamen placidum,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPX55,Corbula gibba,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPX26,Theora lubrica,5
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,2,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPX8,Pratulum thetidis,2
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPX55,Corbula gibba,18
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MGN1,Nassarius nigellus,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPX26,Theora lubrica,3
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPX14,Channelaxinus adelaideanus,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MXX3,#N/A,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPX55,Corbula gibba,5
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPX26,Theora lubrica,2
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1.4,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPX55,Corbula gibba,19
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPX26,Theora lubrica,2
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Dead,MGX30,#N/A,1
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPX55,Corbula gibba,5
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,1,1,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPX55,Corbula gibba,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPX8,Pratulum thetidis,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPX55,Corbula gibba,21
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MGN1,Nassarius nigellus,3
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPX26,Theora lubrica,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MGX57,Maoricolpus roseus,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,4,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPX55,Corbula gibba,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPX26,Theora lubrica,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MGX57,Maoricolpus roseus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPX14,Channelaxinus adelaideanus,2
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPX8,Pratulum thetidis,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPX55,Corbula gibba,32
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MGN1,Nassarius nigellus,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPX17,Purpurocardia bimaculata,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPX26,Theora lubrica,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MGX57,Maoricolpus roseus,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPN1,Ennucula obliqua,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPV1,Placamen placidum,2
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2.8,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPX55,Corbula gibba,7
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPX26,Theora lubrica,7
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MGX57,Maoricolpus roseus,7
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPX8,Pratulum thetidis,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPX55,Corbula gibba,26
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPX26,Theora lubrica,3
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MGX57,Maoricolpus roseus,3
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,2,Live,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPX8,Pratulum thetidis,1
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPX55,Corbula gibba,26
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPX26,Theora lubrica,3
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MGX57,Maoricolpus roseus,3
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MGW14,Philine angasi,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPX27,Plectodon brazieri,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MPX20,Ungulinid sp.20,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MXX3,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Dead,MGX30,#N/A,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPX8,Pratulum thetidis,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPX55,Corbula gibba,12
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MGN1,Nassarius nigellus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPX17,Purpurocardia bimaculata,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPX26,Theora lubrica,9
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MGX57,Maoricolpus roseus,9
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPX14,Channelaxinus adelaideanus,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPN1,Ennucula obliqua,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MPV1,Placamen placidum,0
Oyster_Cove,DEntrecasteaux,IPHC10,2,1.4,Live,MGW14,Philine angasi,1
